,episode_length,episode_reward
922,124,-123.0
923,107,-106.0
924,111,-110.0
925,92,-91.0
926,87,-86.0
927,81,-80.0
928,104,-103.0
929,81,-80.0
930,96,-95.0
931,71,-70.0
932,76,-75.0
933,155,-154.0
934,89,-88.0
935,97,-96.0
936,74,-73.0
937,92,-91.0
938,89,-88.0
939,99,-98.0
940,105,-104.0
941,75,-74.0
942,91,-90.0
943,93,-92.0
944,69,-68.0
945,127,-126.0
946,79,-78.0
947,76,-75.0
948,101,-100.0
949,94,-93.0
950,91,-90.0
951,87,-86.0
952,64,-63.0
953,62,-61.0
954,80,-79.0
955,84,-83.0
956,94,-93.0
957,99,-98.0
958,90,-89.0
959,100,-99.0
960,152,-151.0
961,80,-79.0
962,93,-92.0
963,86,-85.0
964,74,-73.0
965,103,-102.0
966,73,-72.0
967,99,-98.0
968,114,-113.0
969,87,-86.0
970,106,-105.0
971,79,-78.0
972,89,-88.0
973,108,-107.0
974,75,-74.0
975,68,-67.0
976,71,-70.0
977,116,-115.0
978,77,-76.0
979,80,-79.0
980,75,-74.0
981,86,-85.0
982,90,-89.0
983,93,-92.0
984,92,-91.0
985,78,-77.0
986,88,-87.0
987,95,-94.0
988,93,-92.0
989,91,-90.0
990,81,-80.0
991,107,-106.0
992,96,-95.0
993,104,-103.0
994,93,-92.0
995,78,-77.0
996,91,-90.0
997,82,-81.0
998,90,-89.0
999,70,-69.0
